종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"123310","TIGER 인버스","4690","-115","-2.39","4702.07","4825","4830","4685","1846661","8703154800","60032000000","60186559836","12800000","코스피 200 선물지수","1945.71","41.00","2.15"
"195920","TIGER 일본TOPIX(합성 H)","14875","-105","-0.70","15025.76","14870","14950","14860","377","5617980","8925000000","9015458029","600000","TOPIX","1804.68","-14.50","-0.80"
"248260","TIGER 일본TOPIX헬스케어(합성)","12385","-60","-0.48","12501.57","12445","12445","12320","282","3475620","12385000000","12501570486","1000000","TOPIX-17 Pharmaceutical Index","256.99","-3.10","-1.19"
"241180","TIGER 일본니케이225","17030","-130","-0.76","17075.39","17145","17145","16990","4336","74022125","11921000000","11952773321","700000","Nikkei 225","27444.17","-123.98","-0.45"
"292560","TIGER 일본엔선물","10390","-20","-0.19","10397.16","10410","10415","10390","341","3548425","8312000000","8317729893","800000","엔선물지수","612.27","-0.99","-0.16"
"292570","TIGER 일본엔선물레버리지","10150","-30","-0.29","10138.48","10130","10175","10130","112","1136045","7105000000","7096932701","700000","엔선물지수","612.27","-0.99","-0.16"
"292580","TIGER 일본엔선물인버스","9590","70","0.74","9572.28","9525","9590","9525","259","2477740","6713000000","6700594384","700000","엔선물지수","612.27","-0.99","-0.16"
"292590","TIGER 일본엔선물인버스2X","8715","45","0.52","8706.50","8630","8715","8630","137","1189510","6100500000","6094553383","700000","엔선물지수","612.27","-0.99","-0.16"
"150460","TIGER 중국소비테마","7470","60","0.81","7503.78","7425","7500","7415","130755","976383510","162472500000","163207119594","21750000","FnGuide 중국내수테마 지수","3680.82","40.76","1.12"
"292140","TIGER 중소형가치","10805","190","1.79","10864.79","10595","10810","10595","777","8389965","6483000000","6518875372","600000","FnGuide 중소형가치 지수","5124.38","87.25","1.73"
"292130","TIGER 중소형성장","11760","190","1.64","11849.70","11705","11845","11705","587","6902865","7644000000","7702306797","650000","FnGuide 중소형성장 지수","1018.40","15.89","1.59"
"302190","TIGER 중장기국채","52795","-50","-0.09","52753.68","52845","52845","52735","2501","132035055","89751500000","89681259715","1700000","KIS 국채 3-10년 지수(시장가격지수)","11365.09","-9.61","-0.08"
"157500","TIGER 증권","4380","30","0.69","4381.51","4345","4380","4295","30205","130937070","9548400000","9551698931","2180000","FnGuide 증권 지수","2119.02","15.42","0.73"
"307520","TIGER 지주회사","11530","190","1.68","11528.99","11530","11535","11410","1751","20106630","5765000000","5764492915","500000","FnGuide 지주회사 지수","1664.78","18.23","1.11"
"192090","TIGER 차이나CSI300","11210","50","0.45","11098.77","11195","11360","11130","565722","6352188020","329574000000","324084220464","29400000","CSI 300 Index","5113.71","70.77","1.40"
"204480","TIGER 차이나CSI300레버리지(합성)","29395","415","1.43","29033.96","29215","29540","28935","1209977","35527389505","173430500000","171300360517","5900000","CSI 300 Index","5113.71","70.77","1.40"
"217780","TIGER 차이나CSI300인버스(합성)","8320","-15","-0.18","8239.05","8335","8405","8240","7373","61148335","31616000000","31308403418","3800000","CSI 300 Index","5113.71","70.77","1.40"
"245360","TIGER 차이나HSCEI","12075","90","0.75","11912.15","11985","12125","11975","14111","170745170","70035000000","69090456071","5800000","Hang Seng China H","10662.93","213.76","2.05"
"371470","TIGER 차이나바이오테크SOLACTIVE","11225","195","1.77","10848.08","11045","11230","11000","93116","1037692835","22001000000","22130079214","1960000","Solactive China Biotech Index(Net Total Return)","2881.37","69.96","2.49"
"371460","TIGER 차이나전기차SOLACTIVE","11705","515","4.60","11020.87","11395","11760","11230","423626","4885606735","56652200000","57749384611","4840000","Solactive China Electric Vehicle Index(Net Total Return)","2825.64","148.16","5.53"
"117690","TIGER 차이나항셍25","15900","100","0.63","15686.62","15900","15900","15840","767","12177105","7155000000","7058981152","450000","Hang Seng China (Hong Kong-listed) 25 Index","9437.31","151.26","1.63"
"371160","TIGER 차이나항셍테크","10070","280","2.86","9747.43","9840","10070","9810","420336","4176165705","35245000000","37040239008","3500000","Hang Seng TECH Index","8295.37","297.54","3.72"
"232080","TIGER 코스닥150","15525","5","0.03","15659.08","15500","15675","15415","3006770","46905300955","327888000000","330719861658","21120000","코스닥 150","1532.52","1.47","0.10"
"233160","TIGER 코스닥150 레버리지","18320","150","0.83","18373.78","18170","18630","17935","3086676","56594437530","164880000000","148827584646","9000000","코스닥 150","1532.52","1.47","0.10"
