종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"048770","TPC","KOSDAQ","중견기업부","4065","120","3.04","3975","4065","3915","136913","554880715","54797321940","13480276"
"246690","TS인베스트먼트","KOSDAQ","벤처기업부","3590","90","2.57","3530","3590","3475","358268","1271136755","87325077060","24324534"
"317240","TS트릴리온","KOSDAQ","벤처기업부","2825","-95","-3.25","3095","3500","2735","5628443","17868777115","142533993575","50454511"
"038340","UCI","KOSDAQ","관리종목(소속부없음)","2240","-15","-0.67","2290","2295","2140","1166678","2571190060","83770102080","37397367"
"073570","WI","KOSDAQ","중견기업부","1370","15","1.11","1345","1370","1335","394838","533922575","103901963130","75840849"
"024070","WISCOM","KOSPI",,"2735","70","2.63","2665","2775","2660","175022","476192570","41917807930","15326438"
"052300","W홀딩컴퍼니","KOSDAQ","중견기업부","315","11","3.62","304","323","304","4582794","1449632166","73211699295","232418093"
"057030","YBM넷","KOSDAQ","중견기업부","8610","250","2.99","8430","8680","8320","263236","2242015080","140452321170","16312697"
"037270","YG PLUS","KOSPI",,"5060","225","4.65","4835","5130","4800","1790865","9010910505","301049987700","59496045"
"040300","YTN","KOSDAQ","중견기업부","3000","115","3.99","2885","3015","2880","158983","469121375","126000000000","42000000"
"051390","YW","KOSDAQ","중견기업부","3980","55","1.40","3960","4135","3920","87275","351035605","45194364640","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4465","250","5.93","4160","4475","4140","2036550","8859583805","102695000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","13150","200","1.54","12950","13150","12850","104442","1362919700","177994244600","13535684"
