iter	Passed	Remaining
411	5121	7309
412	5139	7304
413	5151	7291
414	5163	7278
415	5171	7260
416	5183	7247
417	5193	7231
418	5207	7220
419	5215	7201
420	5229	7192
421	5243	7182
422	5255	7169
423	5266	7154
424	5280	7143
425	5289	7127
426	5296	7107
427	5306	7091
428	5320	7080
429	5327	7061
430	5338	7047
431	5345	7028
432	5357	7015
433	5368	7000
434	5379	6987
435	5393	6977
436	5407	6967
437	5424	6960
438	5440	6951
439	5450	6936
440	5457	6917
441	5472	6908
442	5483	6895
443	5499	6887
444	5513	6876
445	5525	6864
446	5537	6850
447	5552	6842
448	5563	6827
449	5578	6818
450	5592	6808
451	5605	6796
452	5614	6779
453	5623	6762
454	5631	6745
455	5641	6730
456	5649	6712
457	5657	6695
458	5670	6683
459	5677	6664
460	5686	6648
461	5692	6629
462	5700	6611
463	5709	6595
464	5717	6578
465	5725	6560
466	5737	6548
467	5746	6532
468	5756	6517
469	5768	6505
470	5781	6492
471	5788	6475
472	5797	6459
473	5809	6446
474	5816	6428
475	5823	6411
476	5835	6398
477	5845	6383
478	5856	6369
479	5866	6354
480	5875	6339
481	5882	6321
482	5897	6312
483	5912	6303
484	5926	6293
485	5938	6281
486	5956	6274
487	5971	6264
488	5983	6252
489	5996	6241
490	6007	6227
491	6022	6218
492	6034	6206
493	6044	6191
494	6054	6176
495	6062	6159
496	6074	6148
497	6086	6135
498	6095	6120
499	6105	6105
500	6116	6091
501	6128	6079
502	6135	6062
503	6146	6049
504	6155	6033
505	6164	6018
506	6176	6005
507	6184	5989
508	6193	5974
509	6200	5957
510	6207	5940
511	6216	5925
512	6223	5908
513	6234	5894
514	6244	5880
515	6254	5866
516	6265	5853
517	6276	5840
518	6284	5824
519	6297	5812
520	6308	5799
521	6315	5783
522	6325	5769
523	6333	5753
524	6342	5738
525	6354	5726
526	6361	5709
527	6371	5695
528	6377	5678
529	6387	5664
530	6393	5647
531	6408	5637
532	6420	5625
533	6428	5609
534	6437	5594
535	6443	5578
536	6456	5566
537	6467	5553
538	6484	5545
539	6497	5534
540	6508	5521
541	6523	5512
542	6531	5496
543	6538	5481
544	6547	5466
545	6554	5450
546	6562	5435
547	6570	5419
548	6586	5411
549	6597	5397
550	6604	5381
551	6612	5366
552	6620	5351
553	6634	5341
554	6650	5332
555	6663	5321
556	6679	5312
557	6690	5300
558	6704	5288
559	6712	5274
560	6721	5260
561	6729	5244
562	6738	5230
563	6747	5216
564	6761	5205
565	6772	5192
566	6779	5176
567	6787	5162
568	6794	5146
569	6801	5131
570	6809	5116
571	6821	5103
572	6829	5089
573	6840	5076
574	6848	5062
575	6858	5048
576	6871	5037
577	6889	5030
578	6898	5016
579	6905	5000
580	6916	4988
581	6927	4975
582	6935	4960
583	6943	4945
584	6956	4935
585	6966	4921
586	6974	4907
587	6984	4893
588	6995	4881
589	7009	4870
590	7022	4860
591	7042	4853
592	7059	4845
593	7067	4830
594	7079	4819
595	7096	4810
596	7109	4798
597	7115	4783
598	7125	4769
599	7133	4755
600	7141	4741
601	7152	4728
602	7160	4714
603	7168	4699
604	7176	4685
605	7184	4670
606	7190	4655
607	7204	4644
608	7217	4633
609	7225	4619
610	7238	4608
611	7248	4595
612	7256	4581
613	7266	4568
614	7280	4557
615	7288	4543
616	7297	4529
617	7304	4515
618	7312	4501
619	7322	4487
620	7331	4474
621	7338	4459
622	7346	4445
623	7355	4432
624	7363	4418
625	7371	4404
626	7384	4393
627	7398	4382
628	7410	4371
629	7424	4360
630	7443	4353
631	7453	4339
632	7465	4328
633	7475	4315
634	7483	4301
635	7490	4287
636	7499	4273
637	7506	4259
638	7513	4244
639	7526	4233
640	7536	4220
641	7542	4205
642	7553	4193
643	7563	4181
644	7574	4168
645	7586	4157
646	7597	4145
647	7608	4133
648	7621	4122
649	7628	4107
650	7635	4093
651	7644	4080
652	7652	4066
653	7661	4053
654	7670	4040
655	7680	4027
656	7687	4013
657	7697	4000
658	7704	3986
659	7712	3973
660	7718	3958
661	7732	3947
662	7740	3934
663	7752	3923
664	7763	3910
665	7772	3897
666	7784	3886
667	7795	3874
668	7805	3861
669	7816	3849
670	7825	3836
671	7831	3822
672	7843	3811
673	7853	3798
674	7868	3788
675	7878	3775
676	7886	3762
677	7893	3749
678	7909	3739
679	7922	3728
680	7936	3717
681	7944	3704
682	7958	3693
683	7974	3684
684	7983	3671
685	7990	3657
686	7999	3644
687	8009	3632
688	8018	3619
689	8025	3605
690	8032	3592
691	8043	3579
692	8053	3567
693	8064	3555
694	8078	3545
695	8087	3532
696	8096	3519
697	8102	3505
698	8116	3495
699	8123	3481
700	8138	3471
701	8148	3459
702	8159	3447
703	8167	3434
704	8176	3421
705	8183	3407
706	8196	3396
707	8206	3384
708	8213	3371
709	8227	3360
710	8242	3350
711	8249	3336
712	8261	3325
713	8273	3314
714	8281	3301
715	8292	3289
716	8307	3278
717	8316	3266
718	8323	3253
719	8338	3242
720	8345	3229
721	8360	3219
722	8370	3206
723	8375	3192
724	8387	3181
725	8402	3171
726	8416	3160
727	8429	3149
728	8436	3136
729	8446	3124
730	8453	3110
731	8463	3098
732	8473	3086
733	8482	3073
734	8493	3062
735	8503	3050
736	8514	3038
737	8520	3025
738	8533	3013
739	8541	3001
740	8548	2987
741	8554	2974
742	8561	2961
743	8567	2947
744	8575	2935
745	8582	2922
746	8596	2911
747	8607	2899
748	8614	2886
749	8625	2875
750	8631	2862
751	8640	2849
752	8646	2836
753	8659	2825
754	8665	2811
755	8677	2800
756	8689	2789
757	8704	2778
758	8711	2766
759	8719	2753
760	8727	2741
761	8737	2729
762	8744	2716
763	8751	2703
764	8768	2693
765	8774	2680
766	8783	2668
767	8789	2655
768	8798	2642
769	8804	2630
770	8814	2617
771	8824	2606
772	8838	2595
773	8852	2584
774	8859	2572
775	8871	2560
776	8885	2550
777	8895	2538
778	8905	2526
779	8914	2514
780	8927	2503
781	8939	2491
782	8948	2480
783	8958	2468
784	8968	2456
785	8982	2445
786	8995	2434
787	9009	2423
788	9022	2412
789	9035	2401
790	9051	2391
791	9068	2381
792	9088	2372
793	9101	2361
794	9119	2351
795	9131	2340
796	9144	2329
797	9154	2317
798	9164	2305
799	9172	2293
800	9180	2280
801	9187	2268
802	9195	2255
803	9206	2244
804	9217	2232
805	9229	2221
806	9240	2209
807	9248	2197
808	9258	2185
809	9266	2173
810	9276	2161
811	9285	2149
812	9291	2137
813	9297	2124
814	9304	2112
815	9315	2100
816	9324	2088
817	9333	2076
818	9351	2066
819	9362	2055
820	9374	2043
821	9390	2033
822	9397	2021
823	9408	2009
824	9420	1998
825	9433	1987
826	9447	1976
827	9457	1964
828	9464	1952
829	9473	1940
830	9481	1928
831	9487	1915
832	9495	1903
833	9503	1891
834	9511	1879
835	9518	1867
836	9529	1855
837	9536	1843
838	9544	1831
839	9552	1819
840	9563	1808
841	9571	1796
842	9580	1784
843	9598	1774
844	9609	1762
845	9625	1752
846	9636	1740
847	9646	1729
848	9657	1717
849	9663	1705
850	9674	1693
851	9683	1682
852	9690	1669
853	9696	1657
854	9702	1645
855	9708	1633
856	9717	1621
857	9723	1609
858	9738	1598
859	9751	1587
860	9762	1576
861	9770	1564
862	9780	1552
863	9796	1541
864	9808	1530
865	9817	1519
866	9828	1507
867	9839	1496
868	9848	1484
869	9856	1472
870	9863	1460
871	9872	1449
872	9879	1437
873	9886	1425
874	9894	1413
875	9908	1402
876	9916	1390
877	9927	1379
878	9941	1368
879	9948	1356
880	9961	1345
881	9971	1333
882	9979	1322
883	9985	1310
884	9993	1298
885	10001	1286
886	10007	1274
887	10019	1263
888	10028	1252
889	10034	1240
890	10043	1228
891	10053	1217
892	10067	1206
893	10080	1195
894	10093	1184
895	10099	1172
896	10111	1161
897	10125	1150
898	10134	1138
899	10143	1127
900	10150	1115
901	10159	1103
902	10165	1091
903	10174	1080
904	10181	1068
905	10190	1057
906	10196	1045
907	10205	1034
908	10213	1022
909	10221	1010
910	10227	999
911	10234	987
912	10241	975
913	10255	965
914	10268	953
915	10275	942
916	10283	930
917	10296	919
918	10311	908
919	10327	898
920	10335	886
921	10349	875
922	10360	864
923	10368	852
924	10383	841
925	10393	830
926	10402	819
927	10415	808
928	10428	796
929	10443	786
930	10456	774
931	10463	763
932	10477	752
933	10491	741
934	10506	730
935	10528	719
936	10543	708
937	10554	697
938	10562	686
939	10573	674
940	10584	663
941	10595	652
942	10608	641
943	10621	630
944	10638	619
945	10652	608
946	10662	596
947	10675	585
948	10688	574
949	10699	563
950	10717	552
951	10731	541
952	10737	529
953	10751	518
954	10761	507
955	10767	495
956	10778	484
957	10797	473
958	10814	462
959	10827	451
960	10837	439
961	10844	428
962	10873	417
963	10881	406
964	10895	395
965	10909	383
966	10924	372
967	10937	361
968	10951	350
969	10959	338
970	10968	327
971	10982	316
972	10989	304
973	10997	293
974	11007	282
975	11020	270
976	11033	259
977	11045	248
978	11053	237
979	11070	225
980	11087	214
981	11103	203
982	11112	192
983	11120	180
984	11128	169
985	11134	158
986	11140	146
987	11147	135
988	11152	124
989	11165	112
990	11174	101
991	11181	90
992	11196	78
993	11205	67
994	11217	56
995	11228	45
996	11243	33
997	11258	22
998	11272	11
999	11290	0
